	CTX-M-130	CTX-M-121	CTX-M-155	CTX-M-42	CTX-M-112	CTX-M-50	CTX-M-24	CTX-M-19	CTX-M-38	CTX-M-58	CTX-M-56	CTX-M-88	CTX-M-126	CTX-M-107	CTX-M-11	CTX-M-125	CTX-M-101	CTX-M-36	CTX-M-35	CTX-M-159	CTX-M-151	CTX-M-25	CTX-M-147	CTX-M-1	CTX-M-94	CTX-M-30	CTX-M-76	CTX-M-69	CTX-M-9	CTX-M-82	CTX-M-47	CTX-M-117	CTX-M-41	CTX-M-20	CTX-M-122	CTX-M-34	CTX-M-65	CTX-M-137	CTX-M-123	CTX-M-40	CTX-M-98	CTX-M-49	CTX-M-81	CTX-M-100	CTX-M-8	CTX-M-48	CTX-M-55	CTX-M-31	CTX-M-87	CTX-M-158	CTX-M-68	CTX-M-102	CTX-M-14	CTX-M-108	CTX-M-142	CTX-M-99	CTX-M-131	CTX-M-93	CTX-M-139	CTX-M-113	CTX-M-77	CTX-M-61	CTX-M-4	CTX-M-86	CTX-M-54	CTX-M-22	CTX-M-114	CTX-M-141	CTX-M-7	CTX-M-21	CTX-M-64	CTX-M-124	CTX-M-39	CTX-M-105	CTX-M-28	CTX-M-6	CTX-M-33	CTX-M-96	CTX-M-157	CTX-M-46	CTX-M-67	CTX-M-110	CTX-M-109	CTX-M-80	CTX-M-85	CTX-M-3	CTX-M-52	CTX-M-132	CTX-M-26	CTX-M-60	CTX-M-92	CTX-M-74	CTX-M-103	CTX-M-13	CTX-M-78	CTX-M-44	CTX-M-63	CTX-M-32	CTX-M-84	CTX-M-16	CTX-M-152	CTX-M-156	CTX-M-95	CTX-M-71	CTX-M-53	CTX-M-2	CTX-M-79	CTX-M-5	CTX-M-90	CTX-M-66	CTX-M-45	CTX-M-23	CTX-M-144	CTX-M-115	CTX-M-106	CTX-M-12	CTX-M-134	CTX-M-27	CTX-M-59	CTX-M-91	CTX-M-75	CTX-M-72	CTX-M-116	CTX-M-111	CTX-M-51	CTX-M-17	CTX-M-136	CTX-M-29	CTX-M-43	CTX-M-148	CTX-M-10	CTX-M-160	CTX-M-83	CTX-M-89	CTX-M-129	CTX-M-37	CTX-M-104	CTX-M-62	CTX-M-15	CTX-M-161	CTX-M-162	CTX-M-163	CTX-M-164	CTX-M-165	CTX-M-166	CTX-M-127	CTX-M-138	CTX-M-140	CTX-M-143	CTX-M-146	CTX-M-150	CTX-M-153	CTX-M-154	CTX-M-167	CTX-M-168	CTX-M-169	CTX-M-170	CTX-M-171	CTX-M-172	CTX-M-173	CTX-M-174	CTX-M-175	CTX-M-176	CTX-M-177	CTX-M-178	CTX-M-179	CTX-M-180	CTX-M-181	CTX-M-182	CTX-M-183	CTX-M-184	CTX-M-185	CTX-M-186	CTX-M-187	CTX-M-188	CTX-M-189	CTX-M-190	CTX-M-191	CTX-M-192	CTX-M-193	CTX-M-194	CTX-M-195	CTX-M-196	CTX-M-197	CTX-M-198	CTX-M-199	CTX-M-200	CTX-M-201	CTX-M-202	CTX-M-203	CTX-M-204	CTX-M-205	CTX-M-206	CTX-M-207	CTX-M-208	CTX-M-209	CTX-M-210	CTX-M-211	CTX-M-212	CTX-M-213	CTX-M-214	CTX-M-215	CTX-M-216	CTX-M-217	CTX-M-218	CTX-M-219	CTX-M-220	CTX-M-221	CTX-M-222	CTX-M-223	CTX-M-224	CTX-M-225	CTX-M-226	CTX-M-227	CTX-M-228	CTX-M-229	CTX-M-230	CTX-M-231	CTX-M-232	CTX-M-233	CTX-M-234	CTX-M-235	CTX-M-236	CTX-M-237	CTX-M-238	CTX-M-239	CTX-M-240	CTX-M-241	CTX-M-242	CTX-M-244	CTX-M-73	CTX-M-97
CTX-M-56	207	208	233	230	205	207	207	207	207	234	0	231	206	244	256	206	231	232	2	208	375	205	208	233	204	231	7	232	208	231	207	231	204	2	206	229	208	203	221	212	208	208	209	204	210	205	231	2	208	234	222	208	206	244	229	208	2	208	231	207	9	233	18	207	230	229	232	2	22	208	215	6	203	209	231	15	231	232	231	205	207	210	243	230	207	229	231	221	202	232	2	139	231	208	207	2	211	234	207	209	207	231	10	231	232	1	231	8	207	230	214	230	232	7	211	231	208	207	2	203	140	229	230	207	209	206	230	231	3	209	228	204	207	204	208	228	205	232	230	205	230	231	232	4	234	231	235	207	231	234	234	222	231	230	207	232	231	2	231	231	207	234	231	230	231	232	231	231	231	231	231	207	231	232	231	231	232	207	208	231	231	208	208	230	206	217	2	207	231	230	230	208	232	232	231	231	229	238	232	207	209	207	231	205	231	209	230	203	234	209	230	229	230	233	231	5	232	229	231	208	221	207	230	231	231	209	208	212	208	231	206	2
CTX-M-88	232	231	5	3	232	232	232	232	232	13	231	0	233	18	36	233	2	11	231	231	401	221	233	12	220	13	229	4	233	2	232	2	220	230	232	24	233	166	86	228	231	233	234	220	224	231	2	231	233	13	29	231	231	18	2	233	229	231	2	232	229	11	238	232	3	3	3	231	237	237	115	232	221	232	3	234	2	9	2	233	232	237	17	4	232	2	4	61	222	11	231	235	2	232	224	231	229	11	232	232	225	2	228	2	25	230	3	230	232	3	242	11	3	233	236	10	231	230	231	223	234	3	7	232	234	232	5	8	230	234	23	220	231	222	231	21	232	11	1	231	3	2	3	230	13	2	14	232	2	13	5	87	2	3	232	11	2	231	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	231	231	2	232	117	231	232	2	3	3	225	10	3	2	2	2	11	7	231	234	234	2	221	2	234	3	166	13	232	2	2	3	4	2	233	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	231
CTX-M-126	5	4	234	231	3	3	3	2	3	235	206	233	0	245	256	4	233	234	205	4	358	200	3	235	199	233	205	233	6	231	3	233	199	205	4	229	4	67	147	196	4	4	6	199	191	3	233	206	4	236	228	4	2	245	233	3	206	4	233	3	206	234	212	3	232	232	234	206	212	11	118	205	198	5	233	207	233	236	233	5	3	9	243	232	3	231	232	172	197	236	206	207	233	6	198	206	197	236	3	7	199	231	207	233	232	205	234	204	3	232	15	233	234	206	10	235	4	3	206	200	210	232	232	3	7	4	232	234	207	5	228	199	3	199	4	233	3	233	232	4	232	233	234	207	236	233	237	3	233	236	236	146	233	232	3	233	233	206	233	233	4	236	233	231	233	234	233	233	233	233	233	197	233	231	233	233	234	3	4	233	231	4	4	232	3	120	206	3	233	232	232	198	233	234	233	233	231	240	232	5	7	5	233	200	233	6	232	68	236	5	232	231	234	235	233	207	234	232	233	4	148	3	232	233	233	5	4	9	4	233	4	206
CTX-M-107	246	243	21	19	244	244	244	244	244	26	244	18	245	0	28	245	18	24	244	243	407	234	245	25	233	29	242	19	245	18	244	18	233	243	244	40	245	181	102	235	243	245	246	233	237	243	18	244	245	26	45	243	243	2	18	245	242	243	18	244	241	25	251	244	19	18	19	244	250	248	131	245	234	244	16	247	18	25	18	245	244	244	5	20	244	18	20	77	235	27	244	241	18	244	236	244	236	24	244	244	232	18	241	18	40	243	18	243	244	19	254	24	19	245	237	26	243	242	244	236	240	19	20	244	246	243	21	23	243	246	39	233	243	235	243	36	244	25	17	243	19	18	19	243	26	18	27	244	18	24	21	103	18	19	244	27	18	244	18	18	242	26	18	22	18	19	18	18	18	18	18	236	18	21	18	18	19	244	241	18	18	243	243	18	244	133	244	244	18	17	19	237	26	19	18	18	18	27	23	243	246	246	17	234	18	246	19	181	26	244	18	18	19	19	18	246	19	18	18	243	105	244	19	18	18	242	243	248	243	18	244	244
CTX-M-11	257	256	37	35	255	255	255	255	255	44	256	36	256	28	0	256	36	42	256	256	416	246	256	43	245	45	254	37	256	36	255	36	245	255	255	56	256	199	119	253	256	256	257	245	249	254	36	256	256	44	61	256	254	28	36	256	256	256	36	255	253	43	263	255	35	34	37	256	262	259	149	257	244	257	36	259	36	43	36	256	255	255	31	36	253	34	36	95	245	43	256	252	36	255	246	256	254	44	255	257	248	36	252	36	58	255	36	255	255	35	265	42	37	257	250	42	256	255	256	246	251	35	38	255	257	254	37	41	257	257	55	245	254	245	256	52	255	43	35	254	35	36	37	255	44	36	43	255	36	44	39	120	36	35	255	45	36	256	36	36	255	44	36	38	36	37	36	36	36	36	36	247	36	37	36	36	37	255	256	36	36	256	256	36	255	151	256	255	36	35	35	247	42	37	36	36	36	43	39	254	257	257	35	246	36	257	35	197	44	257	36	36	37	37	36	258	37	36	36	256	123	255	35	36	36	257	256	259	256	36	255	256
CTX-M-125	5	4	234	232	3	3	1	3	3	236	206	233	4	245	256	0	233	234	208	4	360	202	4	235	201	233	207	233	6	231	3	233	201	207	2	229	2	67	147	198	4	4	6	201	193	3	233	208	4	236	228	4	2	245	233	2	208	4	233	3	208	234	214	3	232	232	234	208	214	11	118	207	200	5	233	209	233	236	233	5	3	9	243	232	3	231	233	172	199	236	208	208	233	6	200	208	197	236	3	7	201	231	209	233	232	207	234	206	3	232	15	234	234	208	10	235	4	3	208	202	210	232	232	3	7	4	232	234	209	3	228	201	3	201	4	233	1	234	232	4	232	233	234	209	236	233	237	3	233	236	236	146	233	232	3	233	233	208	233	233	4	236	233	231	233	234	233	233	233	233	233	199	233	231	233	233	234	3	4	233	231	4	2	232	3	120	208	3	233	232	232	200	233	234	233	233	231	240	233	5	7	1	233	202	233	7	232	69	236	5	232	231	234	235	233	209	234	232	233	4	148	3	232	233	233	5	4	9	4	233	4	208
CTX-M-101	234	231	5	3	232	232	232	232	232	13	231	2	233	18	36	233	0	11	231	231	401	221	233	12	220	13	229	4	233	2	232	2	218	230	232	24	233	166	86	228	231	233	234	220	224	231	2	231	233	13	29	231	231	18	2	233	229	231	2	232	229	11	238	232	3	3	3	231	237	237	115	232	221	232	3	234	2	9	2	233	232	237	17	4	232	2	4	61	222	11	231	235	2	232	224	231	229	11	232	232	225	2	228	2	25	230	3	230	232	3	242	11	3	233	238	10	231	230	231	223	234	3	7	232	234	232	5	8	230	234	23	220	231	222	231	21	232	11	1	231	3	2	3	230	13	2	14	232	2	13	5	87	2	3	232	11	2	231	2	2	230	13	2	6	2	3	2	2	2	2	2	225	2	6	2	2	3	232	231	2	2	231	231	2	232	117	231	232	2	3	3	225	10	3	2	2	2	11	7	231	234	234	2	221	2	234	3	166	13	232	2	2	3	4	2	233	3	2	2	231	89	232	3	2	2	232	231	236	231	2	233	231
CTX-M-36	235	234	14	10	233	233	233	233	233	2	232	11	234	24	42	234	11	0	232	234	398	220	234	1	219	15	230	11	234	11	233	11	219	231	233	23	234	171	93	228	234	234	235	219	224	232	11	232	234	2	30	234	232	24	11	234	232	234	11	233	230	2	239	233	10	8	12	232	238	238	120	233	218	235	8	235	11	16	11	234	233	238	22	11	233	9	11	70	219	16	232	237	11	233	221	232	229	2	233	235	222	11	229	11	26	231	10	231	233	10	243	7	12	234	239	15	234	233	232	220	236	10	8	233	235	231	12	11	233	235	22	219	232	219	234	18	233	12	10	232	10	11	12	231	2	11	3	233	11	2	14	94	11	10	233	16	11	232	11	11	233	2	11	13	11	12	11	11	11	11	11	221	11	13	11	11	12	233	234	11	11	234	234	11	233	122	232	233	11	10	10	222	15	12	11	11	11	18	14	232	235	235	11	220	11	235	10	169	2	235	11	11	12	13	11	234	12	11	11	234	96	233	10	11	11	235	234	237	234	11	234	232
CTX-M-35	207	208	233	229	205	207	207	205	207	233	2	231	205	244	256	208	231	232	0	208	375	205	206	233	204	231	7	232	208	231	207	231	204	2	206	229	208	203	221	212	208	208	209	204	210	205	231	2	208	234	222	208	206	244	229	206	2	208	231	207	9	233	18	207	230	229	232	2	22	208	215	6	203	209	231	15	231	232	231	205	207	210	243	230	207	229	229	221	202	232	2	138	231	208	207	2	213	234	207	209	207	231	10	231	232	1	231	8	207	230	214	229	232	7	211	231	208	207	2	203	140	229	230	207	209	206	230	231	3	209	228	204	207	204	208	228	207	230	230	205	230	231	232	4	234	231	235	207	231	234	234	222	231	230	207	232	231	2	231	231	207	234	231	230	231	232	231	231	231	231	231	207	231	232	231	231	232	207	208	231	231	208	208	230	206	217	2	207	231	230	230	208	232	232	231	231	229	238	231	207	209	209	231	205	231	207	230	201	234	209	230	229	230	233	231	5	232	229	231	208	221	207	230	231	231	209	208	212	208	231	206	2
CTX-M-159	5	2	232	232	3	3	3	3	3	236	208	231	4	243	256	4	231	234	208	0	360	200	4	235	199	233	207	231	6	229	3	231	199	207	4	229	4	65	145	198	2	4	6	199	193	3	231	208	4	236	228	2	2	243	231	4	206	2	231	3	208	234	214	3	232	232	232	208	213	11	116	207	200	3	231	209	231	234	231	5	3	9	241	232	3	231	233	170	199	236	208	208	231	6	200	208	199	234	3	5	201	229	209	231	230	207	232	206	3	232	15	234	232	208	10	235	2	1	208	202	210	232	232	3	7	4	232	232	207	5	228	199	3	201	2	233	3	234	230	4	232	231	232	209	236	231	237	3	231	236	234	144	231	232	3	231	231	208	231	231	2	236	231	231	231	232	231	231	231	231	231	199	231	231	231	231	232	3	2	231	229	2	2	230	3	118	208	3	231	232	232	200	233	232	231	231	229	240	233	5	7	5	231	200	231	7	232	69	236	3	230	229	232	233	231	209	232	230	231	2	146	3	232	231	231	3	2	9	2	231	4	208
CTX-M-151	360	358	402	400	359	359	359	359	359	398	375	401	358	407	416	360	401	398	375	360	0	372	358	397	373	397	372	399	358	399	359	401	373	374	359	401	358	358	394	368	358	360	359	373	364	357	399	375	358	398	401	358	358	406	401	360	375	360	401	359	374	398	381	359	400	398	400	373	377	360	388	372	372	357	398	376	401	400	401	358	359	360	405	399	359	399	399	393	371	398	375	375	401	358	374	375	369	398	358	359	376	401	375	401	402	374	398	371	357	400	365	397	398	372	362	399	360	359	375	372	371	400	395	359	357	357	398	397	376	359	400	371	358	371	358	400	359	397	400	357	399	400	400	375	397	401	399	357	401	398	404	393	401	400	359	399	400	375	401	401	359	398	401	400	401	400	401	401	401	401	400	374	400	399	401	401	400	359	360	399	400	360	360	400	358	388	375	359	401	400	399	378	399	400	401	400	401	398	400	357	357	361	400	374	401	359	400	359	398	361	399	400	399	399	401	376	400	399	401	360	395	359	400	401	401	361	360	361	358	401	358	373
